"gene_name","cluster_index"
"RPS25",26
"RPL7A",26
"RPL21",26
"RPL36",26
"RPL6",26
"RPL34",26
"RPL12",26
"RPL35A",26
"RPS29",26
"RPLP2",26
"RPL22",26
"RPS15A",26
"RACK1",26
"RPL35",26
"RPL26",26
"RPS4X",26
"RPL18A",26
"FAU",26
"RPLP0",26
"RPL7",26
"RPL18",26
"RPS7",26
"RPL9",26
"RPL10A",26
"UBA52",26
"RPS13",26
"RPL24",26
"RPL23A",26
"NACA",26
"RPL3",26
"RPL14",26
"RPS16",26
"RPS5",26
"RPL13A",26
"RPS9",26
"RPS20",26
"BTF3",26
"RPS21",26
"RPS10",26
"RPS11",26
"RPL38",26
"PABPC1",26
"RPL23",26
"RPL27",26
"RPL4",26
"RPSA",26
"EEF1B2",26
"RPL27A",26
"EEF2",26
"RPL31",26
"EEF1D",26
"RPS4Y1",26
"SLC25A6",26
"ZFAS1",26
"EIF3E",26
"RBM3",26
"TOMM7",26
"EIF3H",26
"EIF3L",26
"RPL36A",26
"SNHG8",26
"PPA1",26
"C6orf48",26
"EIF4B",26
"RPS17",26
"NEAT1",27
"PSMA7",27
"GRN",27
"CSNK2B",27
"RPL36AL",27
"CCT5",27
"PRELID1",27
"JTB",27
"LAMTOR5",27
"TOMM20",27
"PGAM1",27
"MRPL52",27
"ELOC",27
"MINOS1",27
"CTNNB1",27
"PSMA5",27
"PSMD8",27
"PSMB3",27
"NDUFV2",27
"SPCS1",27
"PSMA4",27
"AP2M1",27
"CYC1",27
"FNDC3B",27
"TMCO1",27
"COPE",27
"PFDN2",27
"SRSF9",27
"SLC43A2",27
"ATP5F1C",27
"SNRPC",27
"NDUFS8",27
"GTF3C6",27
"TMED9",27
"BLOC1S1",27
"SNRPD2",27
"TANK",27
"RNH1",27
"TCP1",27
"B4GALT1",27
"PPIE",27
"POLR2J",27
"UBE2M",27
"SARS",27
"PSMB2",27
"UQCRFS1",27
"EIF3I",27
"CLTB",27
"PSMC5",27
"BUD31",27
"PSMD2",27
"LSM7",27
"TXNL4A",27
"TRMT112",27
"APEX1",27
"SNRPB",27
"DUSP23",27
"DDT",27
"HAX1",27
"STUB1",27
"REX1BD",27
"SRA1",27
"AUP1",27
"COX7A2L",27
"MTCH2",27
"PYCARD",27
"CD151",27
"NUDC",27
"RTRAF",27
"EMC6",27
"PPP1R7",27
"MAGOH",27
"RAB11A",27
"PSMB7",27
"NSRP1",27
"PPP2R1A",27
"OS9",27
"ACADVL",27
"MRPL18",27
"TAB2",27
"TM9SF2",27
"SNRPA1",27
"GLRX3",27
"SEZ6L2",27
"SCAMP3",27
"ARPC5L",27
"RRP36",27
"STOML2",27
"MRPL47",27
"MRPL13",27
"MRPL54",27
"METTL26",27
"EIF4EBP1",27
"TMEM106A",27
"MRPS15",27
"CTDNEP1",27
"CSDE1",28
"NFYC",28
"DDX17",28
"SCAF11",28
"SON",28
"KTN1",28
"LRRFIP1",28
"PRPF40A",28
"ZNF207",28
"WDR83OS",28
"RBM39",28
"GOLPH3",28
"MTCH1",28
"CAPNS1",28
"PRR13",28
"SDF4",28
"MARCH6",28
"CCDC144NL-AS1",28
"SELENOH",28
"LUC7L3",28
"NIPBL",28
"PSMB9",28
"PRKAR1A",28
"MTHFD2",28
"SUMO1",28
"CIRBP",28
"PRPF38B",28
"WNK1",28
"VPS29",28
"TAX1BP1",28
"BRD4",28
"ASH1L",28
"PNN",28
"SF1",28
"PTPN7",28
"TTC3",28
"SSU72",28
"PUF60",28
"CNOT7",28
"PHF20L1",28
"ROCK1",28
"SZRD1",28
"SRSF4",28
"SUPT4H1",28
"YY1",28
"DDX6",28
"MAF1",28
"BPTF",28
"RPN1",28
"XPO1",28
"NRAS",28
"NUDT3",28
"WAC",28
"EIF4H",28
"TMEM14C",28
"GANAB",28
"LARP1",28
"FBXO9",28
"ANAPC16",28
"BOD1L1",28
"NAPA",28
"ZC3H13",28
"DCAF7",28
"P3H1",28
"PDCD10",28
"ZKSCAN1",28
"RNPS1",28
"RALBP1",28
"MAPK1IP1L",28
"APH1A",28
"NUFIP2",28
"TIMM17B",28
"NCOR1",28
"CREB1",28
"FBXW11",28
"SF3B4",28
"DGUOK",28
"C6orf89",28
"MED10",28
"PRRC2A",28
"PPP4R2",28
"EWSR1",28
"SMARCA4",28
"USP22",28
"ZNF638",28
"ZNF451",28
"PRPF38A",28
"PRKCSH",28
"ZNF644",28
"UBE2G2",28
"SHISA5",28
"THOC7",28
"DLGAP4",28
"COX6C",29
"UFC1",29
"VAMP8",29
"CUTA",29
"PSMB1",29
"RBX1",29
"C1orf43",29
"NDUFS2",29
"MTPN",29
"NDUFC2",29
"PPP1CA",29
"NDUFC1",29
"VPS28",29
"SPCS2",29
"ACSL4",29
"NDUFB7",29
"DNAJC7",29
"LAMTOR4",29
"RNF19B",29
"NDUFB8",29
"EPRS",29
"RER1",29
"CHMP2A",29
"NELFE",29
"IK",29
"SNF8",29
"HDLBP",29
"PGLS",29
"SF3B2",29
"PPP4C",29
"PSMA2",29
"ZMAT2",29
"VTI1B",29
"GNB2",29
"SF3B1",29
"PFDN1",29
"PDAP1",29
"SCAND1",29
